state,state_name,gdp_per_capita,unemployment,digital_adoption,rd_intensity,tech_employment,population
TX,Texas,80.9605698361348,3.922376579375525,70.88742580167877,1.9397858647975648,5.4,2.5065795947679
CA,California,73.34082838594578,3.484616999541062,65.37267276934057,4.048303529949035,6.203363475198493,20.49730428128847
KY,Kentucky,67.77226245720831,5.417514433261302,63.06457146000789,0.9999540084391868,8.240171528952743,1.9170674358669084
GA,Georgia,78.2763582768963,6.046499283743927,69.84861028177446,5.0,8.233997095042119,7.633781361190882
WI,Wisconsin,57.19015950331997,5.896920178674298,80.0,2.2971817479691126,8.240232930477132,11.353895082333922
OR,Oregon,57.19035651660983,3.2411737151660422,67.09493375398206,0.7161164768824602,20.0,1.4735632305835302
MO,Missouri,78.9505537860887,4.0361814362231785,68.09060468867317,2.610619438785659,8.521005125980205,4.172726139655511
VA,Virginia,69.20921674983491,4.996895147105346,64.106649010806,0.8333703238499794,11.957269073442141,0.5
TN,Tennessee,54.366307368780575,5.963317690683539,41.9747454164115,2.8603935567492,10.723108204815338,1.3109274061942036
LA,Louisiana,66.51072052303158,3.781238643232065,64.68183349460939,3.709944456840241,8.942674904781065,3.3099007972754846
NY,New York,69.43898768625046,4.221511535004274,75.72276251929232,0.9282282449327869,9.01261369797261,1.0026637230649451
ID,Idaho,54.411242957156915,2.8404975389909577,85.0,3.2360818436001484,9.538932026595818,31.78179255725937
FL,Florida,62.90354725879241,2.705690063878994,62.69166842262653,2.201076698067319,3.804957688497542,0.8055986176117464
IL,Illinois,40.0,5.718788733591297,68.61856810800334,2.9312885719384725,5.2483242540977635,2.6430845253940665
MT,Montana,40.0,6.5343600428562345,64.58345876353708,5.0,4.521220010731253,5.242972941748548
MN,Minnesota,53.252549649108325,4.391984817629499,50.97586354856561,1.3885059581124835,6.354253833292522,25.267726446142778
MD,Maryland,47.84602655598692,6.0052993468380365,78.71387377418024,1.945525003857474,20.0,0.8000871806690542
IA,Iowa,63.77096799114329,5.042454037571451,74.02319639224129,0.8845642742132022,3.0,18.09791073467671
DC,District of Columbia,49.10371109374547,3.5323203680923134,74.49238336451657,0.9313993004797937,9.13173869664652,4.537062032745663
WA,Washington,58.0523555839765,5.0420934082626205,64.08735054246313,1.5620964595907478,5.4,1.3801464527818328
SD,South Dakota,77.58778522705865,6.807054849698954,81.8335317312332,2.09343526138632,4.557803780969253,7.803124021721688
OH,Ohio,57.29068439416157,4.446260941335073,43.17778724649263,2.001073045695983,11.62746949022773,5.690918363572842
NE,Nebraska,60.81033845625509,6.846965483721009,72.04228512560324,2.9418195201495285,6.287528143110539,2.180904605560573
IN,Indiana,42.90302176543852,2.0,80.0,1.6637953104979355,3.1688005257573475,4.873256999667963
MA,Massachusetts,68.4674073056978,5.732853756562836,63.11356409843174,5.0,7.089426433708316,2.8225018818297047
NV,Nevada,61.33107107651839,4.630570602357257,58.204427244766734,1.3699033867507275,9.095307756275405,5.135723936705025
ND,North Dakota,46.188077070932366,4.051488974301198,66.1958163810517,5.0,3.9031347837333645,9.920038570309448
AR,Arkansas,64.50837622014807,4.637641164803253,58.95829215060561,2.554782629284588,6.888650165747419,30.060745348431237
MS,Mississippi,52.79233572097434,2.0,46.392038827206406,0.9048281077670294,6.2173458529682595,1.014728816980909
CO,Colorado,71.49967500248067,4.170492168243732,75.82275569767233,0.7790930839619805,7.365643776447709,40.0
NC,North Carolina,52.77952065324724,5.03566885726762,52.252355435286745,4.622232766906,20.0,0.5
UT,Utah,82.22733821410725,6.7168410671122745,70.68310916762218,1.4099807478248128,8.849415515484608,3.7354111242616286
OK,Oklahoma,59.83803330314479,3.722594672589529,53.96690918919436,2.7177391664246042,3.0,9.079150652654715
WY,Wyoming,47.3074688525292,3.2872595956602186,83.59921286021049,2.296224694670584,6.765746404944835,6.278871339271459
WV,West Virginia,69.87053894523827,3.7473644346231954,55.600960491965154,1.5667756181661736,4.067091484996786,2.1228522305310373
SC,South Carolina,45.34987620034774,5.873103176553111,61.13526180553189,0.9114162207899196,10.089144066414699,3.4912271718173815
ME,Maine,62.50636314005706,4.993126664489527,74.76220660843603,0.5709845900862204,3.7602579431123355,2.480348013632381
HI,Hawaii,40.0,3.7053596943494416,50.22962820279254,1.2061573151686968,5.647190332118972,2.2094912638272493
AL,Alabama,44.06176741321883,5.2699011496700345,67.72951921524955,3.002601729589266,8.19064269061128,12.422663629389152
KS,Kansas,62.36233483042948,4.64561632402206,80.68571305138914,1.9152834376387127,10.170110919115983,6.878623664429579
RI,Rhode Island,68.86159895994493,5.952967485799334,45.71020118526527,0.6893424235792265,3.0,1.9513247203341024
CT,Connecticut,62.05641937427965,3.4469203591839714,67.21560630238766,1.8612096914936573,4.949562844783059,13.190803081646115
MI,Michigan,58.612220611341115,4.008506780103348,63.11859353098109,4.318332560456099,4.549570410830731,6.480252172083174
AK,Alaska,56.386755652928535,3.9118377703017635,74.38187446132773,0.8880740006996868,4.087781737509099,11.886871343038695
DE,Delaware,42.25773611559087,2.304727577801822,50.15659146946302,1.8360335659919411,17.448829066115763,9.540583148873512
NM,New Mexico,51.3618694992635,4.944180415596864,49.154520642988686,1.7172876576452862,7.713631023446942,1.6573268729166655
VT,Vermont,54.47233474848255,4.891582908269834,71.26329878740277,0.7407595439193168,3.0,2.2882395163629
NJ,New Jersey,72.68546671462698,4.5076701849636915,68.56381607879823,2.117955321398036,10.49309233940536,10.987434768907233
PA,Pennsylvania,64.12341947482153,4.148119299937279,63.005914204150514,2.441345125767439,20.0,9.322625718948963
NH,New Hampshire,40.0,2.3769438869243786,69.1573785139637,3.518855765773107,11.240003505364758,4.370677744002518
AZ,Arizona,63.88900763273754,3.8690320158519613,56.83970334105811,3.4475417347882042,3.0,5.15925846054979
